phone_number,customerName,plan,monthlyBill,dataUsage,minsUsed,contractEndDate,accountStatus,paymentMethod,fullAddress
0218790098,John Smith,Premium Unlimited,89.99,15.2,320,2025-12-15,Active,"Credit Card","123 Main St, Anytown NSW 2000"
0287901234,Sarah Johnson,Basic Plan,45.50,5.7,180,2025-08-22,Active,"Bank Transfer","456 Oak Ave, Somewhere NSW 2001"
0298765432,Michael Brown,Family Share,129.99,32.5,750,2026-03-10,Active,"Credit Card","789 Pine Rd, Elsewhere VIC 3000"
0212345678,Emily Davis,Premium Unlimited,89.99,18.3,410,2025-10-05,Active,"PayPal","321 Elm St, Nowhere QLD 4000"
0234567890,David Wilson,Basic Plan,45.50,4.2,120,2025-07-18,Past Due,"Credit Card","654 Maple Dr, Anyplace WA 6000"
0245678901,Jennifer Taylor,Premium Unlimited,89.99,22.1,280,2026-01-30,Active,"Bank Transfer","987 Cedar Ln, Someplace SA 5000"
0256789012,Robert Anderson,Family Share,129.99,45.6,920,2025-11-12,Active,"Credit Card","159 Birch Ave, Othertown TAS 7000"
0267890123,Lisa Martinez,Basic Plan,45.50,6.8,210,2025-09-25,Suspended,"PayPal","753 Spruce Blvd, Thisplace NT 0800"
0278901234,Daniel Thompson,Premium Unlimited,89.99,17.5,350,2026-02-14,Active,"Credit Card","258 Willow St, Thatplace ACT 2600"
0289012345,Michelle Garcia,Family Share,129.99,38.2,830,2025-08-08,Active,"Bank Transfer","951 Aspen Ct, Whereville NSW 2002"
